step,time,dt,inner_flux,outer_flux,vrms
46,0.005632196516554638,0.0001198339684373328,2.5284575808623093,2.034033451052187,1.095416035805271e-05
47,0.005752030484991971,0.0001198339684373328,2.53185377158856,2.031795385704658,1.0755323129407666e-05
48,0.005871864453429304,0.0001198339684373328,2.535208827210951,2.0295804589322244,1.0621661462625469e-05
49,0.005991698421866636,0.0001198339684373328,2.53852409011067,2.0273877933768247,1.042774889477604e-05
50,0.006111532390303969,0.0001198339684373328,2.5418008377224255,2.025216802743055,1.0265130112175973e-05
51,0.006231366358741302,0.0001198339684373328,2.5450402876743383,2.0230667403380687,1.0077773434651787e-05
52,0.006351200327178634,0.0001198339684373328,2.548243575049048,2.020937052042986,9.942991746074953e-06
53,0.006471034295615967,0.0001198339684373328,2.5514117831742102,2.018827091057474,9.790483310733678e-06
54,0.0065908682640533,0.0001198339684373328,2.554545947192759,2.016736342823171,9.644857116792474e-06
55,0.0067107022324906325,0.0001198339684373328,2.5576470355730234,2.014664240508815,9.485050280015086e-06
56,0.006830536200927965,0.0001198339684373328,2.5607159722602457,2.01261030844675,9.389267011325101e-06
57,0.006950370169365298,0.0001198339684373328,2.563753642446438,2.0105740466417052,9.200235886957723e-06
58,0.0070702041378026305,0.0001198339684373328,2.5667608800666653,2.0085550183396244,9.064828969259029e-06
59,0.007190038106239963,0.0001198339684373328,2.5697384820130695,2.00655277812698,8.932571017342472e-06
60,0.007309872074677296,0.0001198339684373328,2.572687208243701,2.0045669268675135,8.826130902207336e-06
61,0.0074297060431146285,0.0001198339684373328,2.57560777609538,2.0025970645746045,8.735516870730347e-06
62,0.007549540011551961,0.0001198339684373328,2.5785008853528573,2.0006428281965563,8.591677489661561e-06
