step,time,nu_inner,nu_outer
40,0.004913192705930642,1.1282083355300483,0.9215969537376372
41,0.005033026674367975,1.1298627433660449,0.9205193117857047
42,0.005152860642805308,1.1314941110997252,0.9194546467321293
43,0.00527269461124264,1.1331033140133073,0.9184022412090319
44,0.005392528579679973,1.134691173969246,0.9173618396253983
45,0.005512362548117306,1.1362584638226774,0.9163328679899063
46,0.005632196516554638,1.137805911388039,0.9153150529734841
47,0.005752030484991971,1.1393341972148519,0.9143079235670959
48,0.005871864453429304,1.140843972244928,0.9133112065195009
49,0.005991698421866636,1.1423358405498012,0.912324507019571
50,0.006111532390303969,1.1438103769750914,0.9113475612343747
51,0.006231366358741302,1.1452681294534521,0.9103800331521308
52,0.006351200327178634,1.1467096087720716,0.9094216734193435
53,0.006471034295615967,1.1481353024283945,0.9084721909758632
54,0.0065908682640533,1.1495456762367413,0.9075313542704269
55,0.0067107022324906325,1.1509411660078603,0.9065989082289666
56,0.006830536200927965,1.1523221875171104,0.9056746388010374
57,0.006950370169365298,1.153689139100897,0.9047583209887673
58,0.0070702041378026305,1.1550423960299991,0.9038497582528309
59,0.007190038106239963,1.1563823169058811,0.9029487501571408
60,0.007309872074677296,1.1577092437096654,0.902055117090381
61,0.0074297060431146285,1.159023499242921,0.9011686790585719
62,0.007549540011551961,1.1603253984087856,0.9002892726884503
63,0.007669373979989294,1.1616152311180603,0.8994167356248294
64,0.0077892079484266265,1.162893283365132,0.8985509186448721
65,0.00790904191686396,1.1641598249646994,0.8976916755909886
66,0.008028875885301294,1.165415110289738,0.8968388700457778
67,0.008148709853738627,1.166659391269491,0.8959923696252642
68,0.00826854382217596,1.1678928987977448,0.8951520498941602
69,0.008388377790613294,1.169115861536419,0.8943177906810196
70,0.008508211759050628,1.17032849521806,0.8934894780584214
71,0.008628045727487961,1.171531005699117,0.8926670026803954
72,0.008747879695925295,1.1727235955246522,0.8918502608230185
73,0.008867713664362628,1.1739064504422394,0.8910391522634952
74,0.008987547632799962,1.1750797549737602,0.8902335819797603
75,0.009107381601237296,1.1762436884887812,0.8894334588614353
76,0.009227215569674629,1.1773984110251656,0.8886386951010963
77,0.009347049538111963,1.178544093782929,0.8878492075610039
78,0.009466883506549296,1.1796808889984538,0.8870649161454284
79,0.00958671747498663,1.180808945786152,0.8862857437392299
80,0.009706551443423963,1.1819284114488444,0.8855116171296973
81,0.009826385411861297,1.1830394202970225,0.8847424650434009
82,0.00994621938029863,1.1841421127800524,0.8839782202356725
83,0.010066053348735964,1.185236612604627,0.883218817154342
84,0.010185887317173297,1.1863230457617495,0.8824641933993094
85,0.010305721285610631,1.1874015341822097,0.881714288734901
86,0.010425555254047965,1.1884721933522373,0.8809690452194762
87,0.010545389222485298,1.1895351337111575,0.8802284070176499
88,0.010665223190922632,1.190590467405598,0.8794923207376554
89,0.010785057159359965,1.1916382941421457,0.8787607341500329
90,0.010904891127797299,1.192678720840374,0.8780335978791752
91,0.011024725096234632,1.1937118419393746,0.8773108635073912
92,0.011144559064671966,1.1947377514821298,0.8765924844772914
93,0.0112643930331093,1.1957565456594847,0.8758784162341281
94,0.011384227001546633,1.1967683106253981,0.8751686151570778
95,0.011504060969983966,1.1977731342464413,0.8744630393186018
96,0.0116238949384213,1.1987710994275336,0.8737616480024601
97,0.011743728906858633,1.199762287246468,0.8730644020580907
98,0.011863562875295967,1.2007467810570203,0.8723712633422454
99,0.0119833968437333,1.2017246504423258,0.8716821945740026
100,0.012103230812170634,1.2026959762316123,0.8709971604214606
101,0.012223064780607968,1.20366082977077,0.8703161256797185
102,0.012342898749045301,1.204619281074236,0.869639056633854
103,0.012462732717482635,1.205571396987174,0.8689659201422517
104,0.012582566685919968,1.2065172503298809,0.8682966845452004
105,0.012702400654357302,1.2074569013883338,0.8676313185565279
106,0.012822234622794635,1.2083904148945008,0.8669697914575881
107,0.012942068591231969,1.2093178538558522,0.8663120740026772
108,0.013061902559669302,1.210239278478231,0.8656581371208237
109,0.013181736528106636,1.2111547478649665,0.8650079527471802
